"Title","Review"
"Good choice","Camera: very good Battery : I expect betterSound. : is perfectly fine Overall performance everything is perfect from my part"
"Classy product"," it's just awesome. worth of money. people who look for all like cam, battery, Ram, ROM    price it's fit for that. it's closer to note 7,7pro 4gb ram because of just  small difference in , processor is 672 but 7s has 660 but costs 2000rs less. clock speed is 2.2GHZ in which 7pro has 2GHZ. Just 70min for full charge from 5-100%. Thank you Flipkart. All Rounder product. prefer black or white."
"Decent product","after using 8 day's my honest review.....Display: Very good qualityCamera: Rear camera at day light conditions very good but at low light conditions struggle in pictures.Front camera average...Battery: Good but not up to the mark in before 4000 mah some Xiaomi device.Gaming: I'm not game lover that's y no comments for gamin performance.Looks: Stunning. just look like a premium device.very disappointing for MIUI Adds..."
"Excellent","it's good , sound is good no issues like 5 pro.network is better than note 4 .camera is good even in night .but no use of 48 MP camera ."
"Classy product","Best Camera Set up with good Quality performance............Fast Delivery So Good ............ What a Mobile This is Redmi Is Best In The World Low Price But Features Are unbelievable In Low Price Good Redmi.......Keep It Up"
"Worth every penny","I am writing this review after use of this phone after 10 days.Camera: One of the best picture quality you can have in this price.Battery: Once completely charged, it gives service for around 17 hours which includes different multimedia applications.Performance: It's a bit lagging sometimes and hangs in between which I think should be fixed once few updates are provided.Display: The display is awesome and for sure rules over other smartphones provided in this range. The notch look add..."
"Really Nice","nice camera nice processor 660, very nice battery backup, nice optimiztion, value for money go for itt"
"Just wow!","I've Purchased this in 16th July 2019 and Got this on 20th July 2019 with Flipkart 6 Quality check Assured Mark.Look Awesome, Fingerprint Sensor Very Nice, Front Camera with Portrait can make you happy & rear camera which can be operate to 48 mp manually, awesome. Portrait Mode doing fabulous Job. Battery is average but with Android pie you can say this is good. ram and rom are enough for the purpose of use. This phone is for game lovers, official users, chatting lovers and selfie lovers to..."
"Terrific purchase","Really nice mobile and camera is glorious style ....."
"Does the job","Pros.1.Rear Camera Setup is Gorgeous And It's Work Very well.Triple camera combination is next level.2.Display Is Very Goog,No Notch, Full Screen Display Experience.3. Performance Is The next Level4.I Love Miui No lag5.premium Glass Body 6.Speaker Clearity is Very Good7.18 Walt Fast Charger in The Box.Cons.1. Very Big Cons For Me Is The Selfie Camera. I am Very Disappoint with The selfie camera20 Megapixel Pop camera is not good, picture clearity is very bad and Selfie Pics Like..."
"Fabulous!","I am using this phone last 2 days & I'm sharing my experience about this phone.1) Camera quality is awesome.2) Display quality very nice.3) Front camera with led very attractive & pictures quality also good.4) Pubg gaming play very smooth without lagging with good graphics.5) Battery life good & full charge within 1:20 to 1:30 hour.6) Value for money."
"Wonderful","excellent phone ... maybe 1000 rs excess price .. but I'm loving using it .. display is super ..  but where is the surprise for alpha sell phone holders?? camera quality is just ahead of everything !!"
"Mind-blowing purchase","Received my RedmiK20 and, wanna thanks to Flipkart for super fast delivery! I love this phone. ! it's so beautiful ?"
"Terrific purchase","*EDIT* when I don't play PUBG, I get more than 9 hrs of screen on time, watch attached screenshot for proof!reviewing after 1.5 week of intense (heavy) usage, 6GB RAM 128GB ROM1) Display - what lacked for so long in Xiaomi devices was AMOLED panels, and this panel on K20 is on par, not close enough to Samsung sAMOLED+ but good enough in bright sunlight, battery efficient with dark mode! u get ambient display, dark mode, and whenever u pick up the phone fingerprint imprint is shown at the ..."
